id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
45296249,The Spectre Loft. 2000ft²  Modern 2 Bds + office,31143642,Justine,,Roncesvalles,43.65303,-79.44828,Entire home/apt,349,5,14,2021-12-12,0.67,1,1,2,STR-2012-HSRRVL
44858917,Beautiful 1BD/1BA Condo Lake & City Views,271310731,Mike,,Niagara,43.63717,-79.40533,Entire home/apt,264,1,39,2022-05-15,1.85,5,70,25,STR-2102-HVWRVL
45296838,Everything is good,365852533,Maree,,Willowdale East,43.76901,-79.40703,Private room,50,2,24,2022-05-02,1.24,3,64,17,STR-2010-HGXRPJ
44862573,Designer condo in the heart of King West,68523791,Isabella,,Waterfront Communities-The Island,43.64574,-79.39496,Entire home/apt,130,30,6,2021-08-15,0.30,1,102,2,STR-2012-GSXVHH
44863906,Roomy❤️Free parking/3' to Sub-12’airprt-20’Downtown,128463436,Le Man,,Stonegate-Queensway,43.64353,-79.51973,Private room,69,2,53,2022-05-01,2.42,3,328,26,STR-2010-GJBDPF
44864863,Comfy⭐️Free Parking+TV/3' to Isling Sub-12’Airport,128463436,Le Man,,Islington-City Centre West,43.64513,-79.52182,Private room,74,2,38,2022-05-26,1.75,3,324,23,STR-2010-GJBDPF
45139532,Private Furnished Room with Attached Washroom,364534867,Lovepreet,,Malvern,43.79509,-79.22955,Private room,65,30,2,2020-11-30,0.10,2,364,0,
45301827,One bedroom apartment close to downtown Toronto,28035221,Milia,,Woodbine Corridor,43.68386,-79.31657,Entire home/apt,100,28,0,,,1,0,0,
45303102,Homewood Queen Bed Room A04,213612,Shiro,,Cabbagetown-South St.James Town,43.66494,-79.37424,Private room,85,28,3,2021-12-18,0.17,22,340,2,
45141256,"LUXURY, Rosedale Central TORONTO  4 Bed/4 Bth",10921328,Audrey,,Rosedale-Moore Park,43.68127,-79.38008,Entire home/apt,695,3,23,2022-01-27,1.31,1,31,17,STR-2101-FSDXVC
44865779,Entire 2BR Condominium + Skyline view + parking,95474618,Jaskaran,,Niagara,43.63518,-79.4034,Entire home/apt,242,2,104,2022-05-19,4.89,2,20,44,STR-2011-FLFXVB
45308687,Modern Studio apt. *CORE of Downtown TO* Dundas sq,128925568,Ybbil,,Bay Street Corridor,43.65272,-79.38031,Entire home/apt,120,28,0,,,1,0,0,
44885085,Luxurious Penthouse - 2 story 1800 square feet.,270537729,Giulia,,Niagara,43.64303,-79.40298,Entire home/apt,800,90,0,,,1,179,0,
